ph	Hardness	Solids	Chloramines	Sulfate	Conductivity	Organic_carbon	Trihalomethanes	Turbidity	Potability
7.581.944.679.656.730	1.932.864.626.334.150	21.675.682.866.428.600	9.821.498.519.744.830	3.819.307.439.745.550	41.481.098.538.973.500	16.109.169.169.906.200	9.260.908.363.758.070	4.833.345.773.568.080	0
9.850.054.687.400.430	20.874.023.200.475.300	352.892.371.102.066	8.350.110.051.861.990	3.372.097.419.137.130	46.248.019.891.044.600	10.105.145.943.904.300	5.088.600.603.490.610	45.218.361.268.659.500	0
9.663.653.196.397.620	23.348.726.795.623.700	13.213.578.253.600.400	10.149.936.905.895.700	29.307.465.745.452.100	32.677.780.298.075.000	1.043.961.936.687.400	62.455.373.067.733.500	4.741.944.304.660.500	0
7.935.607.325.113.070	2.070.168.520.738.290	1.965.784.331.499.770	8.604.504.846.292.830	31.234.360.712.597.200	3.588.490.033.061.340	2.122.812.723.710.720	6.377.183.268.904.520	361.965.073.748.165	0
6.920.342.898.512.870	20.782.136.307.848.900	1.668.979.960.375.620	10.031.146.372.241.000	28.641.386.159.175.900	48.195.587.713.104.200	9.771.895.939.622.480	7.829.502.213.613.880	32.662.134.754.089.000	0
1.053.809.844.277.240	20.013.982.871.773.000	13.867.244.195.734.900	7.365.015.093.298.820	4.094.467.298.474.210	3.408.088.227.507.880	17.073.123.080.434.300	7.273.063.947.852.140	3.823.092.676.110.020	0
572.930.291.193.782	16.285.758.508.798.900	34.573.678.785.724.300	56.548.563.609.759.500	41.528.707.217.243.700	2.976.313.652.164.490	13.990.842.219.488.300	7.674.467.671.800.030	35.563.948.119.631.000	0
533.568.880.893.353	17.864.011.866.627.300	37.993.182.754.531.000	9.772.521.848.077.080	34.325.835.928.715.200	46.507.279.582.402.900	14.834.256.983.868.900	6.532.653.148.577.670	39.219.763.810.567.600	0
6.769.834.880.813.580	17.717.325.799.319.400	34.596.001.871.740.600	28.660.730.298.495.400	3.695.329.964.853.240	38.951.628.608.691.300	17.268.073.630.973.500	6.486.860.787.758.290	3.655.789.569.066.610	0
6.848.329.601.322.460	19.545.148.242.169.200	15.908.642.086.031.200	6.241.348.598.048.280	31.926.472.220.015.200	4.042.048.591.920.260	1.893.733.758.411.460	7.539.279.510.352.950	37.322.020.177.545.000	0
8.589.202.343.654.140	23.372.797.460.195.000	7.263.056.749.130.120	6.953.307.779.687.900	26.897.135.529.751.700	25.888.020.903.971.500	8.986.363.424.137.600	4.193.043.890.143.840	4.041.445.670.962.360	0
7.591.346.093.540.140	1.992.553.218.244.220	25.383.765.183.442.500	7.924.616.265.268.940	3.186.104.784.917.450	4.164.456.174.773.960	2.011.882.693.183.790	4.827.120.968.228.570	4.515.150.113.779.170	0
8.137.767.883.092.490	2.038.618.673.386.860	2.417.270.331.260.770	6.844.017.626.422.230	30.583.257.968.719.700	47.083.626.451.802.800	19.232.961.414.138.300	30.708.421.300.394.100	5.003.825.786.209.140	0
5.352.565.979.714.750	15.049.521.432.008.400	27.795.732.040.940.900	5.464.057.647.765.700	4.459.383.911.976.920	4.224.225.086.996.830	16.144.510.444.073.300	7.837.484.518.269.910	47.791.870.088.188.600	0
7.998.090.253.941.310	2.410.002.765.118.870	9.609.740.604.778.370	9.842.346.073.332.990	22.957.556.091.890.500	4.288.823.659.071.380	14.990.566.983.235.200	39.842.379.091.535.200	2.626.546.783.770.290	0
1.189.807.802.974.030	2.281.326.731.898.390	8.296.550.611.117.100	9.899.636.695.088.740	3.466.497.504.059.970	5.001.692.103.256.430	15.486.862.374.734.300	63.529.460.122.034.000	3.024.968.486.584.320	0
7.442.536.475.327.720	18.085.909.058.042.700	18.223.027.079.632.300	8.577.249.576.739.340	40.532.001.567.447.700	5.647.934.853.202.890	14.768.336.556.220.600	5.775.755.359.567.780	2.191.138.421.703.520	0
51.408.005.276.963.300	2.093.585.611.702.610	21.407.614.287.150.700	4.415.975.931.396.420	23.055.585.580.745.300	3.788.971.896.117.610	21.999.999.999.999.800	8.673.722.285.990.390	419.225.744.935.354	0
962.210.598.702.481	18.290.972.778.877.600	30.307.217.674.994.200	5.657.004.242.761.530	42.244.568.076.530.200	5.733.304.971.144.630	1.769.971.822.487.210	4.590.678.242.024.320	3.975.571.849.056.160	0
53.612.116.660.984.600	1.713.155.430.385.790	2.470.972.885.813.720	4.184.890.691.838.280	36.681.497.891.911.300	49.065.874.698.927.600	1.512.267.224.612.110	3.311.961.259.894.030	181.252.893.956.422	0
6.376.408.434.486.550	1.821.210.381.950.730	33.046.727.605.817.800	535.153.318.891.046	36.235.214.343.376.300	35.023.632.637.500.900	75.925.157.501.404.200	6.622.567.377.981.280	5.404.045.772.985.420	0
39.401.254.598.978.100	16.317.165.313.895.100	2.591.132.167.953.690	4.138.540.036.994.000	37.196.717.975.283.400	4.879.851.851.449.720	17.751.705.391.115.900	6.361.240.285.441.540	34.780.048.078.684.900	0
6.916.825.973.221.450	21.086.043.856.058.900	29.263.554.068.981.700	6.011.610.979.169.920	25.223.132.963.398.200	3.923.635.857.582.850	12.892.210.110.530.000	770.797.800.059.377	4.598.622.246.118.410	0
9.146.557.555.894.000	22.609.342.489.483.100	6.787.484.660.017.700	9.241.762.922.024.450	31.902.580.857.134.700	4.595.690.213.665.920	14.110.476.241.241.400	805.711.461.864.126	3.210.881.938.583.370	0
10.268.414.718.941.300	22.507.421.807.536.300	14.694.420.624.957.000	672.284.290.895.704	3.007.637.719.072.280	3.536.309.128.926.860	13.553.796.408.122.800	6.401.294.426.739.240	5.199.864.588.297.580	0
7.368.768.530.294.820	2.131.970.192.164.430	1.845.202.299.450.760	8.292.444.792.039.030	29.434.485.798.287.700	4.962.708.509.833.160	10.545.091.766.314.300	9.483.774.269.711.350	38.138.812.762.667.700	0
9.393.148.441.549.060	21.505.136.457.391.600	20.592.258.942.126.400	1.008.953.714.883.000	331.338.738.654.354	4.470.744.599.342.780	10.778.632.633.397.700	544.269.683.662.254	4.665.681.059.368.000	0
7.296.572.875.466.080	19.764.695.056.521.700	22.535.085.158.347.200	9.288.199.604.583.650	3.234.490.541.501.670	3.530.629.065.748.290	6.039.669.028.207.070	8.253.617.278.221.550	467.916.864.329.843	0
890.086.469.660.199	2.113.068.119.064.910	9.592.151.333.127.590	8.863.272.376.077.970	3.484.378.198.773.210	33.377.532.714.280.200	1.826.795.085.399.620	6.833.316.991.333.460	4.518.750.669.722.000	0
8.107.244.312.818.490	22.817.185.869.027.900	1.836.483.141.799.280	6.185.947.771.279.670	24.694.261.132.183.600	36.990.319.874.889.200	14.613.422.635.818.300	10.135.152.539.223.300	4.688.271.256.294.090	0
7.804.368.873.943.720	21.667.386.912.339.200	1.416.068.676.634.530	6.060.143.581.856.840	2.813.559.753.961.220	4.682.125.374.032.700	15.147.546.975.476.800	6.286.062.679.512.960	4.075.556.975.063.990	0
4.666.148.130.914.800	17.128.870.012.027.100	35.680.067.877.428.700	48.943.736.166.150.900	31.461.385.120.734.700	5.019.028.641.271.130	14.210.624.450.932.600	56.910.254.057.304.300	455.686.375.232.757	0
10.905.076.410.065.500	2.070.048.365.573.140	16.099.151.895.652.300	8.186.478.946.067.780	36.968.386.689.751.900	5.753.090.369.357.700	17.556.879.619.378.800	8.074.984.922.425.070	37.202.643.792.172	0
4.739.548.767.002.980	16.224.688.566.600.000	2.721.590.274.170.990	2.862.535.374.452.980	3.728.150.748.102.440	43.721.759.018.140.400	1.513.047.648.872.240	650.912.914.244.809	2.942.348.225.414.480	0
9.869.231.934.989.050	2.237.726.613.185.770	2.954.965.882.291.610	7.716.922.923.418.470	28.111.849.034.749.600	3.561.819.158.560.570	14.202.664.062.204.000	8.401.358.459.214.300	4.736.849.577.023.040	0
5.827.541.211.542.770	19.100.493.039.601.500	2.586.334.324.460.300	4.823.831.505.497.680	31.602.551.294.615.700	3.703.572.882.122.670	1.836.185.806.407.750	486.581.086.223.875	31.791.287.413.400.800	0
0.9899122128791387	13.321.694.156.018.000	16.922.853.898.585.200	929.328.864.439.756	4.443.757.306.927.790	32.229.119.123.589.100	10.430.076.340.816.300	43.578.465.511.884.200	51.606.037.881.606.000	0
9.485.832.873.402.850	2.187.382.355.335.100	1.535.783.337.292.030	8.534.458.442.405.420	31.583.139.625.832.300	42.962.221.218.257.900	15.621.138.695.886.800	648.260.282.011.821	3.221.129.818.784.090	0
6.435.722.716.949.110	21.472.466.925.844.600	936.385.398.761.785	9.997.623.566.525.120	2.734.631.393.655.440	50.834.520.701.170.800	12.925.869.662.663.700	7.142.858.985.087.600	4.925.339.107.073.750	0
6.365.497.241.052.180	2.050.565.357.935.370	7.040.737.620.777.590	1.130.283.118.849.050	32.532.854.340.517.300	3.715.796.340.409.170	16.352.858.005.837.500	7.431.259.211.793.050	5.125.416.576.401.360	0
5.452.214.926.167.410	19.922.846.754.405.600	14.446.812.389.685.800	7.689.190.528.554.680	2.983.184.182.542.300	4.691.319.512.580.180	14.020.507.420.373.000	9.530.623.861.595.610	5.190.533.810.336.870	0
5.433.466.238.973.560	17.782.830.229.271.000	3.142.173.163.322.100	4.584.133.909.828.410	3.470.973.536.720.570	4.902.846.741.272.500	16.066.439.028.217.000	5.841.669.860.568.200	2.871.196.030.589.470	0
5.226.941.884.272.900	17.731.960.335.088.000	28.398.554.196.372.400	6.294.517.392.979.030	3.362.929.184.546.400	32.838.742.980.421.200	18.463.094.761.579.300	6.207.590.198.942.490	22.595.502.886.491.800	0
4.594.209.164.354.390	18.563.285.813.186.400	27.981.091.190.195.800	6.761.683.214.465.970	3.547.852.174.343.180	38.072.325.234.526.300	13.983.833.008.387.400	7.457.691.444.202.680	4.917.909.886.714.810	0
6.400.256.164.229.510	1.722.990.001.423.730	15.936.247.359.864.000	4.935.997.766.107.350	3.403.929.303.663.400	4.354.056.098.362.420	11.075.621.804.849.500	5.836.599.451.072.910	4.561.493.818.692.690	0
6.901.863.448.736.060	16.472.348.623.241.700	2.044.261.501.430.490	5.163.931.372.998.990	34.153.708.898.075.700	4.684.163.498.271.390	10.362.622.626.299.100	6.569.487.776.478.390	4.047.907.292.461.210	0
7.888.843.574.059.520	22.848.839.375.396.600	15.824.788.728.849.300	838.894.421.399.903	3.148.432.912.662.620	42.366.270.745.956.700	17.630.362.462.120.900	56.420.210.305.518	36.305.239.854.418.600	0
6.492.403.121.956.250	2.349.145.120.239.770	18.607.213.192.973.900	8.620.697.294.848.200	3.021.313.058.651.810	44.210.420.764.013.500	14.116.823.608.926.500	656.367.585.787.979	4.383.394.691.806.270	0
6.684.699.736.748.970	19.384.093.110.096.600	3.415.718.447.357.780	9.876.574.050.392.140	3.445.354.072.354.140	498.063.996.249.716	8.818.756.566.850.700	6.665.935.223.322.830	4.030.659.830.632.320	0
4.758.648.346.768.640	20.353.783.248.501.000	23.603.065.416.831.100	7.667.128.478.800.440	32.408.433.407.149.700	28.891.245.683.813.600	18.064.956.579.413.000	8.591.666.620.114.030	4.405.508.764.376.710	0
7.440.825.031.061.310	183.362.712.601.924	17.259.852.302.409.400	46.102.446.924.534.200	3.356.264.426.329.920	4.529.952.927.870.200	9.700.906.282.901.080	8.053.706.529.171.710	2.496.342.612.338.430	0
8.054.885.744.073.160	2.009.434.839.528.820	12.642.065.947.280.000	7.309.821.638.629.840	3.344.420.643.076.830	4.467.484.416.115.780	1.494.908.036.525.520	7.120.203.815.261.470	3.514.097.774.584.280	0
706.183.097.218.188	2.159.463.220.151.330	24.991.766.020.523.800	9.138.390.839.362.140	3.214.733.595.649.960	4.314.246.894.278.690	12.950.444.156.120.900	6.402.559.032.278.470	4.299.018.586.936.100	0
7.611.609.817.181.430	22.225.226.947.453.900	25.063.683.013.317.800	8.561.123.755.060.420	2.879.481.232.044.320	5.052.654.826.373.970	182.737.569.562.791	6.839.541.320.826.180	2.873.261.209.549.140	0
46.914.383.151.202.100	20.088.940.639.383.000	32.182.262.317.798.300	8.571.649.638.299.690	3.647.467.863.440.440	5.168.516.225.307.650	12.404.438.749.151.200	8.502.622.691.054.910	2.730.792.274.371.540	0
8.064.170.137.236.560	20.983.933.337.513.400	871.200.258.845.446	8.591.510.126.308.990	35.544.372.109.287.300	3.388.481.579.462.760	18.721.311.565.047.000	10.624.306.597.594.600	3.246.077.223.248.070	0
4.292.966.858.149.650	21.280.864.540.548.300	30.434.269.118.406.600	8.630.313.014.071.890	33.348.254.007.833.200	3.829.223.629.717.560	15.779.921.970.237.300	39.775.513.219.931.400	28.049.235.828.692.900	0
9.085.637.101.693.880	23.822.196.802.665.100	9.001.658.753.142.130	9.820.230.918.736.050	3.251.048.470.296.240	3.813.465.821.492.750	1.919.574.006.013.140	9.849.081.929.088.930	25.440.202.755.440.500	0
6.592.442.507.785.290	2.424.804.726.770.670	9.381.239.930.798.440	7.303.183.678.175.720	3.128.143.949.567.990	44.060.113.456.028.600	1.402.729.679.512.930	7.092.987.947.008.050	30.608.273.538.358.900	0
8.990.317.233.704.650	19.580.902.842.150.400	23.728.294.014.562.000	7.508.305.289.508.390	34.871.461.261.339.200	5.515.403.897.934.340	15.254.391.841.066.800	759.078.693.330.705	4.494.544.339.362.190	0
67.391.576.920.220.500	15.648.275.940.474.100	30.950.681.099.821.500	6.543.089.824.078.050	36.317.962.351.383.300	425.288.836.697.235	11.653.457.753.679.300	7.036.704.881.802.930	5.214.484.016.180.420	0
6.492.627.157.365.370	21.306.538.481.772.800	3.431.408.709.117.720	904.114.608.484.344	33.529.192.590.906.300	3.132.547.429.967.240	11.135.311.827.023.800	7.082.910.986.892.450	33.787.784.927.745.500	0
6.753.128.352.860.480	1.919.829.945.402.660	18.222.931.957.438.400	39.209.736.624.247.200	2.961.966.180.415.410	38.974.246.214.090.200	9.689.143.567.978.240	9.221.961.522.923.110	5.102.516.756.563.610	0
8.296.344.055.589.270	19.819.705.121.398.100	1.746.899.980.174.370	8.262.903.987.469.690	3.695.907.404.838.070	29.432.514.221.521.500	18.026.098.152.350.700	4.406.162.518.425.720	5.400.810.789.347.240	0
79.181.833.208.614.900	22.415.200.454.884.600	20.012.172.975.903.400	9.008.726.093.549.440	302.393.605.292.741	42.189.008.282.690.800	22.187.849.207.934.100	7.272.786.842.315.760	47.641.935.943.067.000	0
8.783.167.623.905.630	2.180.328.397.705.380	16.183.586.649.397.500	7.390.474.095.948.060	3.340.538.854.587.380	3.890.216.156.030.320	16.354.520.235.606.800	4.710.098.206.923.320	4.274.136.884.143.130	0
8.159.666.704.184.940	21.564.821.633.422.100	1.706.829.886.291.950	8.769.621.767.000.690	3.192.532.011.303.290	45.954.115.883.111.600	14.192.544.352.996.700	60.373.722.302.826.400	29.571.948.491.508.100	0
7.685.396.843.315.840	23.033.570.757.087.300	7.324.701.425.458.460	7.991.366.182.885.690	3.315.125.334.296.870	4.928.503.913.894.510	14.233.951.597.560.900	740.686.581.571.863	4.179.187.127.681.610	0
776.202.074.451.675	17.363.674.203.102.400	15.548.416.673.502.200	5.018.671.102.233.060	33.039.097.625.993.600	5.206.407.737.607.890	11.147.704.109.056.600	8.748.150.459.921.050	32.563.013.285.827.700	0
7.207.931.097.430.970	20.401.034.652.932.500	18.493.872.175.475.100	5.557.863.755.660.670	3.115.682.271.859.910	43.751.204.208.786.600	1.299.459.553.667.670	3.139.045.029.431.960	4.705.561.883.525.110	0
698.704.150.028.991	1.697.271.157.728.330	19.472.624.328.496.400	5.017.698.088.295.530	36.601.891.959.337.000	4.256.709.639.584.510	1.731.468.112.565.350	488.821.984.337.697	4.475.161.102.744.770	0
469.219.656.349.297	22.154.777.341.772.600	2.421.163.077.025.930	9.363.249.825.363.390	30.771.399.582.698.400	40.655.166.701.639.200	126.182.517.815.746	60.003.147.675.998.600	4.009.006.061.677.200	0
10.695.532.491.586.200	22.045.107.827.315.500	10.571.770.376.968.900	6.521.422.284.947.890	2.959.760.943.834.970	4.142.560.864.758.920	14.774.800.598.861.400	58.735.932.885.039.300	4.154.845.327.510.760	0
6.791.696.906.894.750	17.589.434.585.427.800	21.467.950.865.982.800	7.101.223.816.321.480	34.949.217.731.774.900	4.272.397.403.288.580	12.556.983.190.453.000	5.525.391.162.576.400	2.817.391.373.961.890	0
4.489.783.796.199.170	1.882.519.391.176.550	14.906.047.921.749.000	8.486.030.243.192.520	3.742.269.262.476.080	5.185.852.526.497.770	1.122.657.798.925.930	6.518.275.873.376.890	37.762.256.314.794.400	0
8.020.869.102.871.470	1.758.736.762.101.060	21.759.363.929.401.500	7.487.278.120.016.820	35.298.311.196.312.800	42.866.096.486.233.600	4.966.861.618.807.000	7.230.521.867.157.220	34.421.212.362.954.900	0
50.900.353.321.672.900	17.426.635.748.737.300	3.409.405.717.743.780	6.741.909.445.204.500	3.766.636.078.793.930	5.263.610.815.801.600	17.107.563.130.581.700	485.462.574.960.863	4.838.862.280.223.710	0
6.702.496.216.244.020	20.855.378.445.475.900	2.905.722.761.748.940	7.029.491.110.970.190	3.027.449.601.923.820	361.947.758.191.616	1.061.458.158.945.740	5.387.973.715.099.730	4.267.952.933.982.100	0
6.571.099.216.507.480	20.774.102.501.484.300	23.372.882.653.692.300	6.280.195.162.130.870	3.138.469.724.655.420	49.790.231.984.559.000	1.287.480.497.903.140	7.541.671.019.846.200	4.555.949.236.427.070	0
8.509.220.048.921.590	20.030.434.810.024.000	10.587.304.929.474.900	6.392.545.063.613.860	30.739.895.951.786.900	5.852.226.283.821.850	11.798.990.545.970.800	6.382.756.869.408.690	25.198.915.810.235.100	0
5.953.981.878.134.780	18.645.708.374.957.400	32.241.079.614.323.600	8.439.680.712.314.410	34.771.315.716.547.400	41.609.099.789.345.000	14.638.926.518.042.000	6.890.775.427.223.280	4.071.916.487.170.480	0
10.632.909.606.071.500	19.837.801.183.496.500	1.295.874.845.688.360	7.135.496.643.869.760	3.226.232.486.591.870	5.220.278.703.100.930	1.672.219.460.413.680	7.177.601.755.015.170	372.245.485.080.585	0
71.830.959.315.085.400	20.036.815.895.582.500	13.501.677.965.117.000	7.982.096.708.062.270	35.833.184.894.940.900	6.175.409.064.911.260	11.176.548.128.135.900	7.153.683.430.131.460	38.065.394.387.932.200	0
5.923.441.414.571.480	16.765.860.220.231.800	25.951.554.035.672.900	6.296.103.203.499.950	35.038.198.108.957.000	47.185.751.068.419.100	15.770.464.179.694.700	5.332.181.233.421.080	4.107.363.630.145.290	0
7.377.036.503.769.020	17.500.827.573.199.000	15.340.951.839.023.100	6.144.844.982.231.070	37.101.052.383.443.300	5.794.618.244.285.430	11.915.739.635.208.600	781.791.708.384.043	4.531.658.688.151.200	0
7.833.495.881.064.730	22.095.743.260.845.800	2.833.898.146.056.600	9.370.848.444.420.920	3.162.744.033.370.940	46.214.242.417.044.400	15.333.004.583.810.000	5.703.352.176.567.170	55.808.299.630.354.200	0
4.745.764.371.481.150	1.863.031.370.656.560	3.315.381.297.558.050	8.840.473.500.525.770	3.701.678.510.128.080	29.696.410.172.607.300	14.784.313.577.379.400	4.845.137.453.619.460	36.991.462.587.291.000	0
9.055.825.784.677.500	19.647.589.885.726.700	20.226.287.944.826.700	5.838.594.348.296.550	29.880.356.031.305.300	34.235.941.054.072.700	12.813.634.258.709.500	8.427.921.839.519.580	5.456.912.830.156.690	0
5.492.155.982.957.830	17.627.140.374.150.600	26.422.097.888.905.400	8.072.933.637.567.950	36.664.476.621.156.400	5.009.387.878.651.710	7.609.797.727.014.260	5.939.678.681.320.400	3.294.129.366.085.430	0
4.487.517.479.010.930	19.905.140.273.340.500	36.860.468.899.312.600	9.751.560.796.636.280	338.049.427.529.092	3.905.669.453.150.990	8.123.470.111.531.900	75.668.784.523.371	27.657.222.477.016.700	0
7.027.185.659.271.870	18.532.070.143.113.600	3.098.897.301.937.850	8.600.477.186.834.940	32.746.266.996.635.500	3.262.690.801.979.090	998.201.022.863.941	5.271.658.853.811.380	5.353.043.339.815.180	0
10.200.644.508.442.100	18.208.060.130.241.900	8.016.202.938.437.550	55.675.006.420.508.900	33.778.157.990.042.200	29.160.028.278.972.300	13.469.924.019.423.200	50.567.372.131.679.300	5.174.719.758.892.980	0
7.344.975.869.046.360	18.230.694.217.406.800	5.689.804.404.872.830	6.764.349.993.180.450	37.387.278.500.525.400	3.601.844.730.557.160	2.048.390.229.703	7.348.898.065.084.010	34.187.631.946.436.300	0
8.285.395.274.908.010	19.655.206.780.599.000	1.909.682.236.947.590	73.578.572.545.432.000	3.429.368.809.897.120	38.894.116.300.743.100	14.151.473.071.718.100	7.318.701.322.910.550	5.438.487.906.597.950	0
594.951.876.406.115	16.044.263.125.887.400	16.898.808.297.192.700	6.045.906.439.607.800	3.673.285.416.831.000	45.101.278.841.833.700	16.359.951.099.329.400	6.236.823.391.884.990	4.072.197.621.614.660	0
5.296.578.803.810.230	2.200.808.324.081.120	3.953.708.646.010.250	9.232.766.061.940.330	32.243.359.180.720.300	39.338.860.326.875.000	10.583.336.152.737.200	5.880.146.948.488.680	39.184.698.008.316.800	0
10.282.067.974.894.700	1.985.463.634.904.040	8.108.297.321.624.600	5.548.407.103.735.630	3.320.179.352.741.970	5.680.789.801.609.980	15.661.692.291.693.900	2.877.061.883.880.710	45.729.230.043.865.700	0
701.683.611.325.458	16.736.218.705.179.000	1.801.499.570.314.820	5.903.058.231.468.130	362.523.415.862.375	47.148.439.459.306.200	10.692.587.986.909.400	45.002.014.419.832.000	4.101.397.991.008.640	0
6.871.607.245.014.960	19.751.709.338.436.000	1.955.799.372.436.910	831.134.872.749.755	3.550.872.579.059.650	37.950.773.853.152.800	18.240.711.615.825.800	656.942.303.934.959	4.180.389.311.503.930	0
8.238.878.989.445.270	1.982.134.051.416.800	11.451.312.217.210.600	53.089.895.602.046.900	3.093.294.234.572.410	4.010.637.636.598.360	13.243.329.279.142.400	8.119.771.042.934.010	2.784.712.796.717.900	0
5.791.154.373.453.370	19.043.167.918.167.300	20.288.235.569.468.600	6.298.365.795.305.260	34.704.102.025.515.000	5.448.574.805.951.710	1.770.683.826.106.890	843.881.914.284.642	4.104.834.816.564.640	0
6.153.368.956.728.860	23.713.982.778.480.200	2.205.203.461.898.160	8.090.493.963.325.420	30.623.917.986.795.700	4.850.984.831.368.030	1.707.526.258.936.940	5.810.825.855.736.360	4.030.337.485.422.800	0
7.303.051.906.328.310	19.695.287.516.726.000	2.205.301.026.214.270	5.392.692.829.400.880	3.052.215.636.071.630	45.160.592.395.435.700	1.466.556.052.806.630	7.171.077.867.727.010	4.144.869.940.408.150	0
7.592.672.300.075.480	17.708.083.947.966.900	1.491.222.550.624.180	6.041.143.671.607.490	34.924.061.445.133.900	35.528.444.229.142.600	17.161.966.066.690.900	42.115.256.925.159.900	33.414.267.280.659.600	0
4.922.045.466.248.690	19.728.720.656.204.400	3.849.472.024.569.310	9.144.953.298.114.430	383.239.138.292.495	3.574.707.042.141.210	1.312.594.167.071.550	61.864.579.653.329.900	2.291.694.536.023.170	0
76.021.214.747.799.800	19.935.316.552.769.700	11.346.143.452.721.600	6.900.379.647.327.510	3.049.664.881.421.140	21.031.918.197.203.600	17.925.782.394.769.800	62.846.672.633.452.100	36.988.747.689.394.200	0
884.628.195.691.071	18.841.500.063.590.300	17.734.949.625.157.600	6.057.867.647.319.610	3.171.505.445.057.650	4.193.955.690.592.320	17.115.446.767.167.700	6.025.157.823.210.820	29.250.375.580.069.800	0
6.751.698.586.301.170	20.340.045.194.899.600	26.325.817.698.746.400	8.365.470.022.720.890	34.189.563.614.291.300	3.814.403.881.892.720	19.527.318.927.571.100	58.293.945.043.696.500	37.560.066.720.223.900	0
5.088.213.197.324.540	15.996.261.228.698.800	3.912.520.919.646.320	6.055.622.508.469.580	3.756.191.860.334.600	4.001.553.243.308.140	20.189.599.511.928.600	6.868.869.382.332.430	26.006.186.786.445.600	0
69.549.072.165.208.400	1.597.663.994.260.640	21.895.285.700.634.100	4.493.900.097.817.160	33.726.717.749.262.000	48.259.827.016.686.800	106.634.916.314.066	7.876.359.170.252.710	3.169.714.975.942.720	0
9.519.659.984.470.310	20.408.094.513.246.000	17.258.188.354.998.900	6.154.072.581.466.940	31.071.629.355.538.400	3.956.985.381.563.540	17.061.389.471.896.500	4.427.337.877.453.150	399.455.613.628.636	0
4.700.392.723.840.930	19.535.280.730.935.800	35.216.534.274.067.000	79.190.831.602.624.700	33.527.937.623.584.400	5.394.646.482.053.530	9.852.784.882.147.370	6.472.133.077.045.870	3.481.943.696.005.750	0
10.386.132.934.434.600	20.089.119.241.184.400	1.798.238.725.646.970	5.845.501.641.338.500	3.389.992.736.864.430	33.627.970.707.624.300	1.431.941.120.798.750	6.215.668.614.059.150	49.213.406.247.862	0
5.746.529.194.455.340	18.347.179.406.918.300	35.633.268.510.737.600	6.066.386.357.101.840	3.275.578.499.050.620	3.541.744.374.501.000	12.548.871.080.271.000	7.052.597.176.663.870	3.808.372.006.211.500	0
10.811.289.500.397.200	20.910.304.997.116.600	1.184.822.826.962.880	10.141.060.053.348.700	34.992.322.923.848.300	39.318.644.622.133.100	15.474.875.939.143.800	6.603.031.725.974.890	4.416.183.694.491.990	0
8.966.835.972.567.800	22.869.135.473.127.200	1.676.485.476.462.530	7.137.871.354.061.040	32.055.599.454.817.000	4.564.264.885.282.390	1.259.999.831.402.960	7.733.013.702.016.310	36.543.549.623.702.500	0
6.848.805.452.540.460	20.481.271.080.146.200	205.555.595.722.516	9.775.004.066.265.410	38.768.638.765.720.000	38.963.822.785.521.200	12.298.753.224.346.000	4.945.204.623.583.030	31.300.447.628.523.700	0
8.861.701.556.503.950	20.061.229.861.795.400	15.247.128.030.884.500	6.050.225.266.127.890	31.312.708.140.471.700	5.217.741.144.719.570	13.780.426.739.099.000	6.987.048.423.586.890	35.791.072.422.859.000	0
4.252.985.000.876.290	14.993.865.467.860.900	2.049.782.222.494.160	32.711.440.240.210.600	30.281.982.256.988.900	427.113.755.709.961	16.086.949.496.694.900	6.820.087.711.530.670	358.830.042.034.225	0
6.729.829.903.890.110	22.940.778.359.934.300	2.311.403.183.317.360	9.733.356.110.206.710	32.116.046.339.092.500	5.218.355.248.342.820	13.140.447.191.472.000	6.825.206.670.165.500	4.724.321.913.211.660	0
5.924.540.482.437.390	18.662.006.839.626.300	4.437.618.738.226.200	6.614.180.462.593.350	3.416.377.735.314.350	27.344.683.817.182.400	12.758.115.316.597.200	5.945.669.088.659.750	4.224.342.508.773.000	0
6.470.151.959.152.820	17.673.637.570.597.800	3.059.428.067.473.660	439.313.814.981.189	32.465.923.341.898.000	5.249.097.809.286.850	16.614.247.513.308.900	8.429.970.286.763.690	31.253.911.119.248.300	0
6.930.391.469.669.390	19.018.938.780.328.600	25.780.059.077.000.500	6.259.352.880.963.180	33.103.025.147.231.700	4.817.375.593.111.370	1.404.948.263.854.150	705.863.604.845.371	36.997.960.364.086.300	0
74.219.976.442.518.600	22.038.531.444.455.800	1.577.265.316.965.400	9.157.615.312.499.000	31.991.293.883.079.200	46.329.691.392.023.100	1.698.166.010.773.790	8.026.935.416.971.040	36.036.095.808.461.300	0
6.204.429.354.069.550	21.164.095.798.844.900	35.439.687.840.102.100	6.236.836.216.752.790	31.413.131.744.806.600	5.524.627.918.140.320	8.660.869.467.991.680	5.635.009.617.776.550	4.106.807.505.488.420	0
9.066.628.053.764.030	2.033.841.233.574.420	22.710.458.374.287.500	5.962.836.939.385.370	321.585.935.583.121	49.616.145.239.198.400	18.367.620.901.414.000	7.641.651.044.619.390	4.055.421.250.793.910	0
4.713.116.701.054.440	20.934.205.088.564.100	2.007.056.779.192.110	6.591.108.949.152.460	3.019.655.414.236.930	35.417.018.130.813.800	14.023.834.466.992.500	8.965.078.816.454.170	3.923.356.035.619.530	0
